DISTRICT,REGION,DEPARTEMENT,SOUS-PREFECTURE OU COMMUNE,CATEGORIE,EFFECTIF
ABIDJAN,ABIDJAN,ABIDJAN,ABOBO,HOMME,680422
ABIDJAN,ABIDJAN,ABIDJAN,ADJAME,HOMME,180917
ABIDJAN,ABIDJAN,ABIDJAN,ATTECOUBE,HOMME,163989
ABIDJAN,ABIDJAN,ABIDJAN,COCODY,HOMME,330016
ABIDJAN,ABIDJAN,ABIDJAN,KOUMASSI,HOMME,209098
ABIDJAN,ABIDJAN,ABIDJAN,MARCORY,HOMME,110458
ABIDJAN,ABIDJAN,ABIDJAN,PLATEAU,HOMME,3635
ABIDJAN,ABIDJAN,ABIDJAN,PORT-BOUET,HOMME,321726
ABIDJAN,ABIDJAN,ABIDJAN,TREICHVILLE,HOMME,55910
ABIDJAN,ABIDJAN,ABIDJAN,YOPOUGON,HOMME,795443
ABIDJAN,ABIDJAN,ABIDJAN,ANYAMA,HOMME,200517
ABIDJAN,ABIDJAN,ABIDJAN,BINGERVILLE,HOMME,101397
ABIDJAN,ABIDJAN,ABIDJAN,BROFODOUME,HOMME,10623
ABIDJAN,ABIDJAN,ABIDJAN,SONGON,HOMME,46833
YAMOUSSOUKRO ,YAMOUSSOUKRO ,ATTIEGOUAKRO,ATTIEGOUAKRO,HOMME,7266
YAMOUSSOUKRO ,YAMOUSSOUKRO ,ATTIEGOUAKRO,LOLOBO (D'ATTIEGOUAKRO),HOMME,18538
YAMOUSSOUKRO ,YAMOUSSOUKRO ,YAMOUSSOUKRO,YAMOUSSOUKRO,HOMME,173978
YAMOUSSOUKRO ,YAMOUSSOUKRO ,YAMOUSSOUKRO,KOSSOU,HOMME,17394
BAS-SASSANDRA,SAN PEDRO ,SAN-PEDRO,DOBA,HOMME,52162
BAS-SASSANDRA,SAN PEDRO ,SAN-PEDRO,DOGBO,HOMME,34234
BAS-SASSANDRA,SAN PEDRO ,SAN-PEDRO,GABIADJI,HOMME,60478
BAS-SASSANDRA,SAN PEDRO ,SAN-PEDRO,GRAND-BEREBY,HOMME,69343
BAS-SASSANDRA,SAN PEDRO ,SAN-PEDRO,SAN-PEDRO,HOMME,205927
BAS-SASSANDRA,SAN PEDRO ,TABOU,DAPO-IBOKE,HOMME,11283
BAS-SASSANDRA,SAN PEDRO ,TABOU,DJAMANDIOKE,HOMME,12175
BAS-SASSANDRA,SAN PEDRO ,TABOU,DJOUROUTOU,HOMME,50289
BAS-SASSANDRA,SAN PEDRO ,TABOU,GRABO,HOMME,29970
BAS-SASSANDRA,SAN PEDRO ,TABOU,OLODIO,HOMME,11164
BAS-SASSANDRA,SAN PEDRO ,TABOU,TABOU,HOMME,33677
BAS-SASSANDRA,NAWA ,BUYO,BUYO,HOMME,53489
BAS-SASSANDRA,NAWA ,BUYO,DAPEOUA,HOMME,40371
BAS-SASSANDRA,NAWA ,GUEYO,DABOUYO,HOMME,24345
BAS-SASSANDRA,NAWA ,GUEYO,GUEYO,HOMME,30829
BAS-SASSANDRA,NAWA ,MEAGUI,GNAMANGUI,HOMME,45039
BAS-SASSANDRA,NAWA ,MEAGUI,MEAGUI,HOMME,81472
BAS-SASSANDRA,NAWA ,MEAGUI,OUPOYO,HOMME,32934
BAS-SASSANDRA,NAWA ,SOUBRE,GRAND-ZATTRY,HOMME,58525
BAS-SASSANDRA,NAWA ,SOUBRE,LILIYO,HOMME,43859
BAS-SASSANDRA,NAWA ,SOUBRE,OKROUYO,HOMME,63932
BAS-SASSANDRA,NAWA ,SOUBRE,SOUBRE,HOMME,146075
BAS-SASSANDRA,GBOKLE,FRESCO,DAHIRI,HOMME,18010
BAS-SASSANDRA,GBOKLE,FRESCO,FRESCO,HOMME,26267
